Name,Link,RecipeType,TotalTimeMin,IsFreezable,Rating,ImageLink
Rabarbersnurrer,https://www.arla.dk/opskrifter/rabarbersnurrer/,Unknown,60,True,92,https://cdn-rdb.arla.com/Files/arla-dk/3315145728/f3cd9c71-3c7c-4177-a6b0-bd4ba7c55869.jpg
Yoghurtis,https://www.arla.dk/opskrifter/yoghurtis/,Dessert,60,False,76,https://images.arla.com/recordid/8DE6907C-4DE9-4A5E-B64CE33DE16D2456/yoghurtis.jpg
Skumfiduser,https://www.arla.dk/opskrifter/skumfiduser/,Unknown,0,False,88,https://images.arla.com/recordid/EC8033E1-E691-4AA6-95E21DE6754DF045/skumfiduser.jpg
Madbrød bagt over bål,https://www.arla.dk/opskrifter/madbrod-bagt-over-bal/,Unknown,30,False,80,https://cdn-rdb.arla.com/Files/arla-dk/2574637884/ede93385-d803-475f-be61-638b1cf93422.jpg
Hytteostlasagne,https://www.arla.dk/opskrifter/hytteostlasagne1/,Hovedret,60,False,68,https://cdn-rdb.arla.com/Files/arla-dk/4157470925/2707a2ad-7600-440e-9bcb-3c9cb4d846ad.jpg
Krydret tomatfad - af en rest steg,https://www.arla.dk/opskrifter/krydret-tomatfad---af-en-rest-steg/,Hovedret,30,False,60,https://images.arla.com/recordid/4B68B64E-9F2F-4BA2-8095A235D425245E/krydret-tomatfad---af-en-rest-steg.jpg
Grøntsagsspaghetti med persillepesto,https://www.arla.dk/opskrifter/grontsagsspaghetti-med-persillepesto/,Hovedret,30,False,86,https://images.arla.com/recordid/7bf2cdb169a8490382beaaca00795b8b/grontsagsspaghetti-med-persillepesto.jpg
Kartoffelroulade,https://www.arla.dk/opskrifter/kartoffelroulade/,Tilbehoer,60,False,74,https://images.arla.com/recordid/E1DF4411-9A6E-45D5-91F145DABD47CC05/kartoffelroulade.jpg
Brownie med cookiebund og sprøde kiks,https://www.arla.dk/opskrifter/brownie-med-cookiebund/,Unknown,0,True,86,https://cdn-rdb.arla.com/Files/arla-dk/3907175193/fa9e7674-43fe-48f1-aaa1-4b0b6496520d.JPG
Muslinger i spicy fløde,https://www.arla.dk/opskrifter/muslinger-i-spicy-flode/,Forret,45,False,72,https://cdn-rdb.arla.com/Files/arla-dk/2492658904/3c60624a-8360-4ffb-9022-47a7a94e1a1a.jpg
Pasta med stegt blomkål,https://www.arla.dk/opskrifter/pasta-med-stegt-blomkal/,Hovedret,30,False,84,https://cdn-rdb.arla.com/Files/arla-dk/1638404110/80682f4e-2b7a-4818-aec8-88657ec9924f.jpg
Fuldkornsboller,https://www.arla.dk/opskrifter/fuldkornsboller/,Unknown,60,True,66,https://images.arla.com/recordid/ABE2D4C6-316B-4BA3-BBB5CF4AAB94AAA4/fuldkornsboller.jpg
Stjernebrød med kanelremonce,https://www.arla.dk/opskrifter/stjernebrod-med-kanelremonce/,Mellemmaaltid,60,True,98,https://cdn-rdb.arla.com/Files/arla-dk/2226479855/542bf521-5da8-4cca-a778-990421b35661.jpg
Chimichanga,https://www.arla.dk/opskrifter/chimichanga/,Hovedret,0,False,96,https://images.arla.com/recordid/602858AE-9AAC-46E7-BF162539A0067E38/chimichanga.jpg
Tandoori kylling med mangosalat,https://www.arla.dk/opskrifter/tandoori-kylling-med-mangosalat/,Hovedret,55,False,74,https://images.arla.com/recordid/50ADCC8F-0004-4DBF-B5C2FC8A1845AC7A/tandoori-kylling-med-mangosalat.jpg
Kærnemælksfromage,https://www.arla.dk/opskrifter/karnemalksfromage/,Dessert,60,False,58,https://images.arla.com/recordid/9f1e524ef5094f9fb8b5a6ea0028ffe6/karnemalksfromage.jpg
Kødboller - til baby,https://www.arla.dk/opskrifter/kodboller---til-baby/,Tilbehoer,30,True,56,https://cdn-rdb.arla.com/Files/arla-dk/1336051615/4379235f-5e87-48cf-8d6b-6e3603f67c20.jpg
Tortillas med bønnesalat,https://www.arla.dk/opskrifter/tortillas-med-bonnesalat/,Hovedret,30,False,70,https://images.arla.com/recordid/CF2BD307-270B-41DC-9EEE5537647FC3CF/tortillas-med-bonnesalat.jpg
Dåbskage - til prins og prinsesse,https://www.arla.dk/opskrifter/dabskage---til-prinsen-eller-prinsessen/,Dessert,60,False,64,https://cdn-rdb.arla.com/Files/arla-dk/1888760734/025ce6b9-0d9d-43a9-b303-cceb44162afb.jpg
Teriyakikylling,https://www.arla.dk/opskrifter/teriyakikylling/,Hovedret,45,False,100,https://images.arla.com/recordid/EE06CAE4-330D-409F-9E8D8E0D0B06F61D/teriyakikylling.jpg
